city,state,lat,lon,t95_c,t05_c,source,period,method
Columbia,SC,34.0007,-81.0348,28.92,4.25,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Pierre,SD,44.3683,-100.351,26.52,-12.38,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Nashville,TN,36.1659,-86.7844,28.15,-0.0,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Montpelier,VT,44.2601,-72.5754,21.13,-13.91,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Richmond,VA,37.5538,-77.4603,28.27,0.57,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Olympia,WA,47.0379,-122.9007,19.99,2.82,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Charleston,WV,38.3498,-81.6326,25.87,-2.26,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Madison,WI,43.0731,-89.4012,24.59,-10.78,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Cheyenne,WY,41.14,-104.8202,23.02,-7.03,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
Fort Worth,TX,32.7254,-97.3208,31.25,4.18,"ERA5 hourly 2m_temperature, Copernicus CDS reanalysis-era5-single-levels-timeseries",1991-2020,daily mean = (Tmin + Tmax) / 2 over local calendar days; whole-period 95th / 5th percentile (numpy linear interpolation)
